day,demand
1,123
2,118
3,119
4,116
5,79
6,83
7,127
8,131
9,116
10,121
11,89
12,79
13,94
14,78
15,97
16,119
17,101
18,105
19,76
20,73
21,132
22,123
23,132
24,99
25,95
26,95
27,80
28,119
29,121
30,130
31,115
32,135
33,96
34,85
35,129
36,115
37,141
38,98
39,90
40,103
41,115
42,123
43,135
44,136
45,108
46,103
47,97
48,124
49,129
50,114
51,149
52,128
53,107
54,116
55,127
56,141
57,131
58,143
59,143
60,135
61,103
62,112
63,114
64,129
65,164
66,162
67,123
68,129
69,124
70,125
71,156
72,178
73,144
74,151
75,78
76,134
77,139
78,150
79,160
80,118
81,128
82,126
83,148
84,134
85,146
86,154
87,165
88,140
89,117
90,137
