date,day_of_week,month,city,category,demand_units,unit_price,warehouse,stock_available,lead_time_days
2024-01-01,0,1,Mumbai,Electronics,70,8500,Warehouse_West,271,1
2024-01-01,0,1,Mumbai,Groceries,295,150,Warehouse_North,814,2
2024-01-01,0,1,Mumbai,Clothing,123,800,Warehouse_West,861,1
2024-01-01,0,1,Mumbai,Furniture,33,12000,Warehouse_South,543,4
2024-01-01,0,1,Mumbai,Medicines,225,200,Warehouse_West,881,4
2024-01-01,0,1,Delhi,Electronics,60,8500,Warehouse_West,389,2
2024-01-01,0,1,Delhi,Groceries,261,150,Warehouse_West,443,4
2024-01-01,0,1,Delhi,Clothing,119,800,Warehouse_North,330,1
2024-01-01,0,1,Delhi,Furniture,24,12000,Warehouse_West,473,4
2024-01-01,0,1,Delhi,Medicines,218,200,Warehouse_North,515,2
2024-01-01,0,1,Bangalore,Electronics,54,8500,Warehouse_North,539,4
2024-01-01,0,1,Bangalore,Groceries,288,150,Warehouse_West,654,4
2024-01-01,0,1,Bangalore,Clothing,97,800,Warehouse_South,280,4
2024-01-01,0,1,Bangalore,Furniture,25,12000,Warehouse_South,587,2
2024-01-01,0,1,Bangalore,Medicines,163,200,Warehouse_South,676,3
2024-01-01,0,1,Chennai,Electronics,47,8500,Warehouse_South,929,4
2024-01-01,0,1,Chennai,Groceries,242,150,Warehouse_South,926,4
2024-01-01,0,1,Chennai,Clothing,90,800,Warehouse_North,901,4
2024-01-01,0,1,Chennai,Furniture,23,12000,Warehouse_West,252,4
2024-01-01,0,1,Chennai,Medicines,179,200,Warehouse_South,416,4
2024-01-01,0,1,Pune,Electronics,34,8500,Warehouse_North,214,1
2024-01-01,0,1,Pune,Groceries,221,150,Warehouse_North,720,4
2024-01-01,0,1,Pune,Clothing,61,800,Warehouse_West,338,3
2024-01-01,0,1,Pune,Furniture,17,12000,Warehouse_North,591,3
2024-01-01,0,1,Pune,Medicines,160,200,Warehouse_South,430,2
2024-01-01,0,1,Hyderabad,Electronics,53,8500,Warehouse_North,227,3
2024-01-01,0,1,Hyderabad,Groceries,194,150,Warehouse_North,247,3
2024-01-01,0,1,Hyderabad,Clothing,93,800,Warehouse_West,773,4
2024-01-01,0,1,Hyderabad,Furniture,22,12000,Warehouse_South,746,1
2024-01-01,0,1,Hyderabad,Medicines,188,200,Warehouse_West,812,3
2024-01-02,1,1,Mumbai,Electronics,74,8500,Warehouse_South,702,3
2024-01-02,1,1,Mumbai,Groceries,323,150,Warehouse_South,994,1
2024-01-02,1,1,Mumbai,Clothing,112,800,Warehouse_North,890,3
2024-01-02,1,1,Mumbai,Furniture,30,12000,Warehouse_West,440,4
2024-01-02,1,1,Mumbai,Medicines,265,200,Warehouse_North,606,3
2024-01-02,1,1,Delhi,Electronics,66,8500,Warehouse_North,854,3
2024-01-02,1,1,Delhi,Groceries,328,150,Warehouse_South,881,1
2024-01-02,1,1,Delhi,Clothing,121,800,Warehouse_South,845,4
2024-01-02,1,1,Delhi,Furniture,26,12000,Warehouse_South,530,4
2024-01-02,1,1,Delhi,Medicines,221,200,Warehouse_South,547,1
2024-01-02,1,1,Bangalore,Electronics,53,8500,Warehouse_North,482,2
2024-01-02,1,1,Bangalore,Groceries,250,150,Warehouse_North,827,1
2024-01-02,1,1,Bangalore,Clothing,72,800,Warehouse_North,424,3
2024-01-02,1,1,Bangalore,Furniture,27,12000,Warehouse_South,883,4
2024-01-02,1,1,Bangalore,Medicines,191,200,Warehouse_North,891,1
2024-01-02,1,1,Chennai,Electronics,52,8500,Warehouse_South,696,2
2024-01-02,1,1,Chennai,Groceries,162,150,Warehouse_North,280,3
2024-01-02,1,1,Chennai,Clothing,87,800,Warehouse_North,201,2
2024-01-02,1,1,Chennai,Furniture,20,12000,Warehouse_North,584,3
2024-01-02,1,1,Chennai,Medicines,163,200,Warehouse_South,329,1
2024-01-02,1,1,Pune,Electronics,47,8500,Warehouse_West,638,3
2024-01-02,1,1,Pune,Groceries,199,150,Warehouse_West,600,3
2024-01-02,1,1,Pune,Clothing,78,800,Warehouse_South,397,2
